x_led,y_led,led_num
6413,33,1
710,2755,68
6975,1482,8
2371,2946,72
1418,6017,55
-254,1915,45
1189,1314,26
1605,3569,65
-86,2329,46
6105,3484,81
2806,2989,73
-762,650,42
8203,1426,91
1784,4407,63
6592,2505,12
5288,2489,15
3665,2864,75
5652,444,3
2152,5660,60
755,4396,51
-923,231,41
1485,-405,30
1257,884,27
7831,3476,85
6567,1355,7
7024,2448,11
8662,2173,89
588,3990,50
2387,1624,22
-482,-1346,37
1116,2595,69
7328,1738,9
251,3158,48
8241,3335,86
-1015,-206,40
4523,2772,77
1703,1779,24
1271,1738,25
1086,5212,53
-423,1497,44
4092,2791,76
344,-1604,35
83,2744,47
1529,2717,70
7402,3511,84
5727,1143,5
3181,1977,20
-966,-644,39
1558,-835,31
2779,1812,21
2306,6512,58
7581,275,94
4857,2434,16
4945,2886,78
1409,25,29
1779,3971,64
8549,3025,87
416,3574,49
1333,454,28
1988,1453,23
8703,2612,88
1853,4836,62
6839,-46,96
2319,6071,59
779,-1606,34
811,3188,67
6969,3536,83
3592,2122,19
7369,2173,10
1583,6419,56
6159,2530,13
1537,-1267,32
1909,6702,57
8451,1785,90
3239,2946,74
7274,-35,95
1211,3375,66
920,4804,52
1947,2848,71
5725,2525,14
1988,5255,61
7973,1053,92
4429,2356,17
6538,3545,82
5331,3087,79
4004,2249,18
1250,5615,54
-88,-1539,36
6007,197,2
5431,822,4
-785,-1038,38
5703,3315,80
7777,664,93
-591,1078,43
6141,1268,6
1208,-1555,33
